0,1,2,3,4,5,6,0
11.12,0.48,0.02,0.36,0.12,0.06,0.3,INFJ
23.4,0.2,0.0,0.1,0.02,0.0,0.38,ENTP
16.72,0.1,0.0,0.24,0.0,0.08,0.26,INTP
21.28,0.04,0.02,0.22,0.0,0.06,0.52,INTJ
19.34,0.12,0.02,0.2,0.04,0.02,0.42,ENTJ
29.82,0.02,0.0,0.2,0.0,0.0,0.78,INTJ
26.58,0.04,0.02,0.26,0.0,0.06,0.74,INFJ
24.46,0.02,0.04,0.7,0.0,0.0,0.56,INTJ
14.76,0.46,0.02,0.44,0.02,0.02,0.34,INFJ
24.66,0.14,0.02,0.26,0.0,0.06,0.48,INTP
29.08,0.02,0.0,0.46,0.0,0.2,0.88,INFJ
15.94,0.06,0.0,0.14,0.0,0.56,0.38,ENFJ
25.0,0.0,0.04,0.28,0.0,0.16,0.64,INFJ
31.9,0.0,0.0,0.18,0.0,0.12,0.84,INTJ
17.68,0.06,0.0,0.04,0.0,0.04,0.3,INTP
24.24,0.02,0.0,0.22,0.0,0.08,0.6,INTP
27.52,0.08,0.0,0.2,0.06,0.4,0.86,INFJ
32.74,0.0,0.04,0.06,0.0,0.2,0.94,INFP
30.6,0.0,0.02,0.12,0.0,0.12,0.76,INFJ
22.78,0.0,0.0,0.2,0.0,0.1,0.62,INFP
21.7,0.02,0.0,0.16,0.0,0.04,0.42,INTP
22.02,0.26,0.0,0.4,0.0,0.02,0.72,INFJ
23.84,0.1,0.0,0.26,0.0,0.4,0.6,ENTJ
13.04,0.0,0.06,0.18,0.02,0.08,0.6,INFP
21.72,0.1,0.0,0.24,0.02,0.1,0.78,ENTJ
21.94,0.06,0.02,0.22,0.0,0.22,0.6,INFP
35.16,0.0,0.0,0.02,0.0,0.24,1.46,ENFP
18.1,0.02,0.02,0.16,0.0,0.24,0.24,ISFP
29.08,0.0,0.02,0.2,0.0,0.12,0.96,INFP
31.4,0.06,0.0,0.12,0.0,0.14,0.84,INFJ
32.12,0.0,0.0,0.12,0.0,0.14,0.92,INFP
19.68,0.0,0.0,0.5,0.0,0.48,0.1,INFJ
23.16,0.0,0.0,0.28,0.0,0.08,0.5,INTP
27.32,0.02,0.0,0.2,0.0,0.06,0.62,INFJ
20.54,0.06,0.06,0.22,0.0,0.24,0.4,ENFJ
7.14,0.56,0.0,0.52,0.02,0.06,0.2,INFJ
29.3,0.08,0.02,0.16,0.04,0.18,0.9,INTJ
29.76,0.08,0.02,0.1,0.0,0.0,0.62,INFP
27.88,0.06,0.02,0.44,0.0,0.0,0.82,ENFP
33.12,0.0,0.0,0.12,0.0,0.52,1.5,ENTJ
31.34,0.08,0.02,0.1,0.0,0.04,0.74,ISTP
28.26,0.08,0.0,0.14,0.0,0.16,1.12,INFJ
20.7,0.0,0.0,0.02,0.0,0.08,0.4,INTP
27.72,0.04,0.0,0.2,0.0,0.14,0.64,INFP
